,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,win_rate
1452,MASTER,LWCmenmdfzT4O1_Y48sYNQeceD6lvg-0gcM6DWu2q-O2mA,길수공주,215,298,165,False,False,False,False,64.363
1453,MASTER,J6UpamJ4A9aH6WnzUhYlPYQAAiAhVdU5Wvycocqv5tM89dQ,      I Helper I,152,775,760,False,False,False,False,50.489
1454,MASTER,DZluX5bhHfa6c8cAJih_9ZBjC7yLhnqCFBpq1SpdGc2ixkw,팡팡키키,53,754,765,False,False,True,False,49.638
1455,MASTER,-qcmuNLVF76jX5EY_Rc8LsciOOUrjbqwpwJH5xaqOYgs1fg,level,167,139,145,False,False,False,False,48.944
1456,MASTER,E4zFTLNMZbbwVVWuZcS5PBp9yod559HNesO-ge-5l-hVHR0,No soul,229,589,553,False,False,False,False,51.576
1457,MASTER,cHTot6BnbBZNCQi-lwH7P6UYApWt8AJt9_xpHR-BWnFQxg,Guriri cover,0,61,39,False,False,True,False,61.0
1458,MASTER,lEezDMQDmKmA2Vqjhg61QXRMaNp1gzD764kMBb-ZLnQTJQ,원딜프로지망생,0,317,307,False,False,True,False,50.801
1459,MASTER,hjUSq63PW_QGL6NZhbnFFYu39mk0NnNcqRzRVRto-QwIqGg,4대리그분석전문,45,114,107,False,False,False,False,51.584
1460,MASTER,yAsBOJmMYbFwBOV_CsLYVZAazCJKxh08vuO6cAyssGg5VpU,긴슨진,120,414,395,False,False,True,False,51.174
1461,MASTER,O4EVo5S7NXsl3VW3f6jWwtjRVLy65KN3tUrlRhs1xo9v2G0,pai wei baiyin,133,340,268,True,False,False,False,55.921
1462,MASTER,4II0GRdFre_ygdJZp7o8CI_Qmxh3ptkpYX88kKX5dLgVCg,낌쫑삔쫑낌,16,206,194,False,False,True,True,51.5
1463,MASTER,TZCmhZyZl9l9P6PLZApVB-RjE1x3om925NKJ2Xo0nx4gDg,키보드 안칠게요,153,724,704,False,False,False,True,50.7
1464,MASTER,v3mBRAZ0J7LRXbe7O8VAJ9oB_MOAePdzn9QvPP4dc9xzcg,고대신의 예언자,0,216,188,False,False,True,True,53.465
1465,MASTER,Dx0F2hBii3tVJS9LPG7ugHdN4OXtEqWjLEhis_dz8f3M8e8,weibianzuiqiang1 ,0,129,112,False,False,True,False,53.527
1466,MASTER,t0xVQ-0M0UZzFwpz8zlR3x67pUtiFNPwaFdm2MFNTEeRCPg,펩시가콜라냐,136,246,208,False,False,False,False,54.185
